date,group
2019-11-05,1000905.9901245114
2019-11-06,989030.3197981324
2019-11-07,997963.9541577196
2019-11-08,1006061.2760777357
2019-11-11,998428.4333873588
2019-11-12,999261.8213527225
2019-11-13,981416.7010439365
2019-11-14,978241.9623555297
2019-11-15,980571.1324355309
2019-11-18,972350.7113038467
2019-11-19,956330.7686789195
2019-11-20,946333.5263217423
2019-11-21,945369.3757104141
2019-11-22,941022.5818267411
2019-11-25,948611.7517815889
2019-11-26,951551.0827033364
2019-11-27,950385.7363834339
2019-11-28,944045.0004719805
2019-11-29,954653.0442029352
2019-12-02,955597.243615783
2019-12-03,946798.7153184242
2019-12-04,956580.8116535987
2019-12-05,954678.1319008743
2019-12-06,956990.859692142
2019-12-09,949085.4332972205
2019-12-10,953771.663686219
2019-12-11,957036.4239629259
2019-12-12,955784.3136592236
2019-12-13,943800.6124234361
2019-12-16,940308.7565793495
2019-12-17,937370.7422855855
2019-12-18,941562.2405762686
2019-12-19,949689.3177199156
2019-12-20,953831.0830157376
2019-12-23,949496.1936024276
2019-12-24,949038.685521287
2019-12-25,944419.1523580519
2019-12-26,954833.9779006129
2019-12-27,952915.3030964546
2019-12-30,949331.3230149787
2019-12-31,956452.8145206304
2020-01-01,956046.8934576452
2020-01-02,957195.7969965509
2020-01-03,952562.5085933842
2020-01-06,953389.1489184077
2020-01-07,952356.1842267509
2020-01-08,957935.0944946238
2020-01-09,953323.6433635592
2020-01-10,965008.3063843538
2020-01-13,972377.8811022787
2020-01-14,975927.5118785225
2020-01-15,984878.7226637255
2020-01-16,978501.4074616984
2020-01-17,982669.7091552091
2020-01-20,982204.8881891728
2020-01-21,983786.7333563112
2020-01-22,1000153.8471755637
2020-01-23,987579.3687186067
2020-01-24,985849.5378556007
2020-01-27,978201.3216695972
2020-01-28,973977.3302489232
2020-01-29,977241.6272595066
2020-01-30,986534.853556729
2020-01-31,983743.8161089845
2020-02-03,999813.0285319964
2020-02-04,1004379.1305021803
2020-02-05,997917.405093268
2020-02-06,1004241.9262110419
2020-02-07,1013479.6961086935
2020-02-10,1012797.7300792777
2020-02-11,1011597.0578811787
2020-02-12,1017593.9964809816
2020-02-13,1010303.0871592595
2020-02-14,1001749.0986710333
2020-02-17,1014375.5016164782
2020-02-18,1018768.0877858258
2020-02-19,1015782.437997798
2020-02-20,1002964.4456343969
2020-02-21,1013245.9446509663
2020-02-24,1025779.9614686666
2020-02-25,1010221.324848468
2020-02-26,1004739.9276349833
2020-02-27,1018175.4484478976
2020-02-28,1010798.2078051923
2020-03-02,1010374.2457479606
2020-03-03,1002091.3225469769
2020-03-04,1009335.0907335451
2020-03-05,984121.0657027964
2020-03-06,966589.1545394551
2020-03-09,963124.5719971518
2020-03-10,950492.0748223383
2020-03-11,950501.0226705411
2020-03-12,951421.2659578874
2020-03-13,947303.8999828558
2020-03-16,945823.4881990211
2020-03-17,938601.9327906925
2020-03-18,939355.4195215229
2020-03-19,928318.9000625312
2020-03-20,932526.5844989275
2020-03-23,942434.1055080987
2020-03-24,938405.66703253
2020-03-25,941870.435828282
2020-03-26,928824.9879388215
2020-03-27,931761.1945228953
2020-03-30,932071.8005328976
2020-03-31,918430.0559538284
2020-04-01,916042.2826987889
2020-04-02,914666.7759220501
2020-04-03,912306.6352457483
2020-04-06,906717.8717714474
2020-04-07,911163.7606251163
2020-04-08,910576.8909450548
2020-04-09,910812.2194033477
2020-04-10,920094.6335233911
2020-04-13,914402.098795892
2020-04-14,898269.2048570031
2020-04-15,892163.5464009721
2020-04-16,886280.6417102467
2020-04-17,874235.0868487976
2020-04-20,885873.1644334873
2020-04-21,877365.1230950553
2020-04-22,892562.2791822448
2020-04-23,883168.4460883513
2020-04-24,876793.7010981675
2020-04-27,890415.8096121908
2020-04-28,873987.5941625095
2020-04-29,865666.8883270384
2020-04-30,871878.9944099996
2020-05-01,864274.5753017796
2020-05-04,872508.7016202876
2020-05-05,877491.1170747902
2020-05-06,875729.293166085
2020-05-07,876120.7298878585
2020-05-08,870431.6457278539
2020-05-11,871087.4674296172
2020-05-12,870128.5306077036
2020-05-13,868220.5618479628
2020-05-14,861854.2784612061
2020-05-15,865570.3351292158
2020-05-18,876163.5398001991
2020-05-19,881006.9476392131
2020-05-20,873165.3854091733
2020-05-21,864557.5290889274
2020-05-22,876772.8134288967
2020-05-25,887476.2311555697
2020-05-26,886060.0267552292
2020-05-27,888351.9214613071
2020-05-28,896256.5732382069
2020-05-29,901269.5712895476
2020-06-01,896003.7764123261
2020-06-02,891544.5486149316
2020-06-03,894755.170166494
2020-06-04,891827.1541495939
2020-06-05,880165.140066552
2020-06-08,872730.8540257199
2020-06-09,879584.4529628512
2020-06-10,873310.3720061351
2020-06-11,873276.1643226105
2020-06-12,882039.5512211308
2020-06-15,879816.0936409701
2020-06-16,866181.0069888991
2020-06-17,865219.7070555253
2020-06-18,853026.3092264759
2020-06-19,855442.4603472813
2020-06-22,848744.9612513515
2020-06-23,848233.3360425706
2020-06-24,843219.5472002503
2020-06-25,847681.5879586637
2020-06-26,852946.0839666581
2020-06-29,865996.2922828599
2020-06-30,863845.5679872844
2020-07-01,862368.6415066117
2020-07-02,861772.066415394
2020-07-03,852704.5833953804
2020-07-06,849858.495347697
2020-07-07,848387.0057312027
2020-07-08,840994.9186088055
2020-07-09,840972.8970596722
2020-07-10,839313.8687265355
2020-07-13,842888.7128102217
2020-07-14,843486.1636657924
2020-07-15,841956.2589289197
2020-07-16,837228.095919173
2020-07-17,821857.7415403796
2020-07-20,825755.884396987
2020-07-21,819913.6221020315
2020-07-22,824694.5587233808
2020-07-23,822461.0087915545
2020-07-24,842355.5655811031
2020-07-27,860816.5621886223
2020-07-28,861908.8867753609
2020-07-29,846259.4749280948
2020-07-30,835056.5968059096
2020-07-31,834189.8818295154
2020-08-03,835871.0141683526
2020-08-04,821855.9463233864
2020-08-05,829377.3260603927
2020-08-06,847118.5098637466
2020-08-07,853406.6208631406
2020-08-10,843285.5513313378
2020-08-11,835639.9661562326
2020-08-12,837132.0925616713
2020-08-13,848646.2394954265
2020-08-14,849634.1161722398
2020-08-17,848043.960935703
2020-08-18,841828.4677496378
2020-08-19,827240.4207098733
2020-08-20,827148.8530738056
2020-08-21,827659.7125295595
2020-08-24,825916.6334201593
2020-08-25,828311.6416328078
2020-08-26,812583.4729359864
2020-08-27,807290.4294906652
2020-08-28,807599.9075089273
2020-08-31,813276.3173518822
2020-09-01,817565.9417607535
2020-09-02,812058.9589664068
2020-09-03,812711.3611197253
2020-09-04,813784.5221985023
2020-09-07,811788.1852063586
2020-09-08,806532.2855967287
2020-09-09,814007.0583313212
2020-09-10,813344.1757124013
2020-09-11,810364.2757001847
2020-09-14,806849.1958772314
2020-09-15,805514.1606701226
2020-09-16,805927.2816452413
2020-09-17,806141.0830604691
2020-09-18,806596.5242857619
2020-09-21,801526.8543396012
2020-09-22,802411.6057924363
2020-09-23,794310.5505736381
2020-09-24,789638.8295547187
2020-09-25,792039.9011420602
2020-09-28,787191.0190695918
2020-09-29,784125.6774968004
2020-09-30,782864.4772220822
2020-10-01,774606.2464711457
2020-10-02,765981.3888810816
2020-10-05,764628.4724986826
2020-10-06,766285.17617961
2020-10-07,761647.8500906208
2020-10-08,760394.9449310475
2020-10-09,764158.0306838409
2020-10-12,768173.8093793797
2020-10-13,768215.8973070976
2020-10-14,774003.7436615032
2020-10-15,774377.7702092442
2020-10-16,781158.3694809529
2020-10-19,782437.3981012461
2020-10-20,775548.370328811
2020-10-21,769969.8010721429
2020-10-22,766099.9559788012
2020-10-23,774777.2139269132
2020-10-26,765781.1635625414
2020-10-27,764552.6589838364
2020-10-28,768500.7856841993
2020-10-29,777382.7175213557
2020-10-30,777291.9568169257
2020-11-02,793728.658329454
2020-11-03,789927.096095991
2020-11-04,785978.9325917605
2020-11-05,778985.9305215825
2020-11-06,789304.5941592448
2020-11-09,783246.1783061184
2020-11-10,783993.2255478259
2020-11-11,787353.376749747
2020-11-12,805240.6550072036
2020-11-13,804918.037843587
2020-11-16,802218.6477975458
2020-11-17,809802.4548471966
2020-11-18,814835.482668105
2020-11-19,817998.8625846801
2020-11-20,821512.6274696462
2020-11-23,807935.5028855004
2020-11-24,815258.1662637743
2020-11-25,814838.5499429917
2020-11-26,820094.7774731712
2020-11-27,828361.8942606531
2020-11-30,824929.5426780763
2020-12-01,840418.5432532243
2020-12-02,844558.2395712878
2020-12-03,825591.9147617522
2020-12-04,824756.3924066338
2020-12-07,818383.1126647169
2020-12-08,819996.5332562606
2020-12-09,818706.3349056577
2020-12-10,815303.5983769929
2020-12-11,804300.0584216847
2020-12-14,811460.8768089572
2020-12-15,805822.0721257802
2020-12-16,809557.6366883903
2020-12-17,806501.6469083368
2020-12-18,798421.72464546
2020-12-21,799559.0720443148
2020-12-22,795827.0306892986
2020-12-23,805755.1209471852
2020-12-24,808712.3716805673
2020-12-25,813945.333191971
2020-12-28,818647.4197115903
2020-12-29,831336.1448842755
2020-12-30,840310.0726188846
2020-12-31,838351.475139484
2021-01-01,832226.9597764667
2021-01-04,826513.8548410349
2021-01-05,831322.8156880231
2021-01-06,816508.8148837509
2021-01-07,822844.1533886674
2021-01-08,831299.5073872781
2021-01-11,844298.1483034161
2021-01-12,845154.9042608205
2021-01-13,845340.828386924
2021-01-14,849847.9573468184
2021-01-15,839665.6075959131
2021-01-18,839845.902134795
2021-01-19,832003.9582342637
2021-01-20,834835.0080926132
2021-01-21,839644.6415570704
2021-01-22,837332.6081942036
2021-01-25,838879.7013294344
2021-01-26,839322.9744211793
2021-01-27,841781.5087325706
2021-01-28,847692.1032018355
2021-01-29,838153.9719075547
2021-02-01,833046.8331869417
2021-02-02,830199.7113863565
2021-02-03,829324.8800086696
2021-02-04,815788.2534620326
2021-02-05,819127.342036647
2021-02-08,828822.0370905322
2021-02-09,833343.6431156117
2021-02-10,825853.082844793
2021-02-11,828687.5046634732
2021-02-12,820742.4181985117
2021-02-15,827141.8621890007
2021-02-16,828526.8608786422
2021-02-17,819231.8793645322
2021-02-18,816284.6027099075
2021-02-19,816152.8745277589
2021-02-22,806009.0606042519
2021-02-23,818625.6111779774
2021-02-24,807205.8699022889
2021-02-25,812058.810511686
2021-02-26,805322.4547082029
2021-03-01,792697.9003844917
2021-03-02,794657.5486123645
2021-03-03,795903.6608522795
2021-03-04,795871.6426043336
2021-03-05,802434.1153691378
2021-03-08,809312.7399448486
2021-03-09,810874.3056757355
2021-03-10,805199.721846275
2021-03-11,804106.690669266
2021-03-12,807289.3056523867
2021-03-15,802663.8999892187
2021-03-16,812499.9653325627
2021-03-17,809067.2348575823
2021-03-18,807402.0299348992
2021-03-19,805061.7369528979
2021-03-22,799718.0214621297
2021-03-23,802865.3400683146
2021-03-24,806267.0577307307
2021-03-25,818825.528519237
2021-03-26,818671.7047737102
2021-03-29,826261.5118839201
2021-03-30,838674.4610394696
2021-03-31,836534.7424711507
2021-04-01,831572.2235984359
2021-04-02,829245.3278231865
2021-04-05,835755.0607056415
2021-04-06,822984.9978483557
2021-04-07,826016.4435389818
2021-04-08,820334.5353215248
2021-04-09,815996.2389973563
2021-04-12,820903.1343010948
2021-04-13,818942.5347999304
2021-04-14,813306.9762006914
2021-04-15,813548.1673905974
2021-04-16,814161.2598594751
2021-04-19,816056.6727012154
2021-04-20,818943.6226370067
2021-04-21,810865.4168500733
2021-04-22,809620.5219947661
2021-04-23,806424.9378578773
2021-04-26,812301.1526739288
2021-04-27,813668.1501401355
2021-04-28,820248.372906525
2021-04-29,817022.3834082102
2021-04-30,819485.8352421501
2021-05-03,825104.20437174
2021-05-04,825507.2075202274
2021-05-05,819119.9836927401
2021-05-06,814431.3802894417
2021-05-07,798158.1313006456
2021-05-10,803928.0263310245
2021-05-11,803570.5428693148
2021-05-12,804842.8554612827
2021-05-13,804152.8459152365
2021-05-14,807212.0142971971
2021-05-17,803939.3077412957
2021-05-18,805406.1865070255
2021-05-19,807792.0734106278
2021-05-20,805536.1347727131
